DateTime,AddedIPs,RemovedIPs
1528216922,6,0
1528218121,9,0
1528219321,2,0
1528219981,0,1
1528220522,17,0
1528221722,1,0
1528222922,4,0
1528225322,5,0
1528225922,1,0
1528227121,1,0
1528227722,20,0
1528228922,4,0
1528229522,3,0
1528230122,6,0
1528231321,4,0
1528231921,3,0
1528232522,10,0
1528233722,1,0
1528234234,1,0
1528234921,5,0
1528235521,9,0
1528236121,2,0
1528236721,4,0
1528237321,16,0
1528242121,2,0
1528243322,11,0
1528244521,1,0
1528245722,2,0
1528246922,2,0
1528248122,3,0
1528249321,5,0
1528250522,3,0
1528251121,6,0
1528252922,7,0
1528253522,6,0
1528254122,3,0
1528254723,2,0
1528255322,2,0
1528255922,8,0
1528256522,6,0
1528257121,17,0
1528258322,6,1
1528258921,4,0
1528259521,2,0
1528260121,5,0
1528260723,2,0
1528261321,4,0
1528261922,2,0
1528262522,2,0
1528263721,1,0
1528264322,2,0
1528264921,2,0
1528265522,1,0
1528266122,6,0
1528266781,1,0
1528267322,8,0
1528267922,4,0
1528268522,2,0
1528269722,4,0
1528270922,3,0
1528273323,7,0
1528274521,6,0
1528275722,4,0
1528276321,1,0
1528276921,2,0
1528278121,1,1
1528279321,1,0
1528281122,3,0
1528281722,1,0
1528282322,2,0
1528282922,4,0
1528284121,4,0
1528285322,1,0
1528286522,1,0
1528287722,6,0
1528288921,9,0
1528289521,1,0
1528290122,7,0
1528291322,2,0
1528293722,5,0
1528294923,6,0
1528297321,4,0
1528297921,2,0
1528298522,1,0
1528299121,1,0
1528300922,1,0
1528302123,6,0
1528302721,11,0
1528303322,2,0
1528304522,6,0
1528305122,3,0
1528305722,4,0
1528306381,2,0
1528306922,2,0
1528307522,5,0
1528308122,3,0
1528309322,4,0
1528312922,11,0
1528318792,86,0
1528322521,9,0
1528324922,7,0
1528329721,13,0
1528332721,4,0
1528335379,8,0
1528335721,5,0
1528336322,1,0
1528336922,25,0
1528337522,11,0
1528338121,9,0
1528338722,2,0
1528339922,1,0
1528340521,2,0
1528341721,5,0
1528342321,1,0
1528342922,3,1
1528343521,1,0
1528344121,3,0
1528345322,8,0
1528346521,5,0
1528347721,2,0
1528348922,11,1
1528349521,1,0
1528350122,8,0
1528351321,6,0
1528352522,2,0
1528353181,2,1
1528353723,2,0
1528354322,2,0
1528354921,5,0
1528356721,5,0
1528357321,4,0
1528359122,8,0
1528359722,12,0
1528360322,2,0
1528360921,4,0
1528362122,3,0
1528363322,2,1
1528364521,3,1
1528365122,1,0
1528365722,1,0
1528366321,6,1
1528367522,1,0
1528368122,1,0
1528369322,2,0
1528369921,1,0
1528370522,2,0
1528371721,2,0
1528372922,1,0
1528374123,2,0
1528374722,4,0
1528375321,1,0
1528377721,1,0
1528378922,2,0
1528381321,2,0
1528381922,9,0
1528382522,6,0
1528383121,19,0
1528384922,1,0
1528386122,2,0
1528387321,1,0
1528388522,3,0
1528389036,2,0
1528389722,8,0
1528390322,3,0
1528390921,1,0
1528391522,4,0
1528392121,2,0
1528392723,3,0
1528394521,25,0
1528395722,13,0
1528396922,3,0
1528398122,5,0
1528399322,2,0
1528400522,3,0
1528401121,1,0
1528401721,1,0
1528402922,2,0
1528403521,1,0
1528403581,1,1
1528404122,3,0
1528405321,1,0
1528405922,1,0
1528407721,7,0
1528408921,8,0
1528409522,11,0
1528411322,10,0
1528411922,3,0
1528412522,9,0
1528413122,3,0
